,uncased,nominative,genitive,dative,accusative,instrumental,locative,vocative
654,kieszeń,kieszeń,kieszeni,kieszeni,kieszeń,kieszenią,kieszeni,kieszeni
659,żołnierz,żołnierz,żołnierza,żołnierzowi,żołnierza,żołnierzem,żołnierzu,żołnierzu
660,sprzęt,sprzęt,sprzętu,sprzętowi,sprzęt,sprzętem,sprzęcie,sprzęcie
662,dostęp,dostęp,dostępu,dostępowi,dostęp,dostępem,dostępie,dostępie!
665,dzwon,dzwon,dzwonu,dzwonowi,dzwon,dzwonem,dzwonie,dzwon
667,małżeństwo,małżeństwo,małżeństwa,małżeństwu,małżeństwo,małżeństwem,małżeństwie,małżeństwo
669,komputer,komputer,komputera,komputerowi,komputer,komputerem,komputerze,komputerze
670,auto,auto,auta,autu,auto,autem,aucie,auto
671,kwiat,kwiat,kwiatu,kwiatu,kwiat,kwiatem,kwiecie,kwiecie!
672,Ameryka,Ameryka,Ameryki,Ameryce,Amerykę,Ameryką,Ameryce,Ameryko!
673,wiatr,wiatr,waitru,wiatrowi,wiatr,wiatrem,wietrze,wietrze
677,energia,energia,energii,energii,energię,energią,energii,energio!
679,misja,misja,misji,misji,misję,misją,misji,misjo
682,piłka,piłka,piłki,piłce,piłkę,piłką,piłce,piłko
684,stacja,stacja,stacji,stacji,stację,stacją,stacji,stacjo
685,cena,cena,ceny,cenie,cenę,ceną,cenie,ceno
687,pole,pole,pola,polu,pole,polem,polu,pole
689,zapach,zapach,zapachu,zapachowi,zapach,zapachem,zapachu,zapachu
691,oddział,oddział,oddziału,oddziałowi,oddział,oddziałem,oddziale,oddziale
698,kontrola,kontrola,kontroli,kontroli,kontrolę,kontrolą,kontroli,kontrolo
699,bzdura,bzdura,bzdury,bzdurze,bzdurę,bzdurą,bzdurze,bzduro
700,duch,duch,ducha,duchowi,ducha,duchem,duchu,duch
702,profesor,profesor,profesora,profesorowi,profesora,profesorem,profesorze,profesorze
703,lot,lot,lotu,lotowi,lot,lotem,locie,locie!
710,móc,moc,mocy,mocy,moc,mocą,mocy,mocy
712,umowa,umowa,umowy,umowie,umowę,umową,umowie,umowo
716,śmieć,śmieć,śmiecia,śmieciowi,śmieć,śmieciem,śmieciu,śmieciu!
717,restauracja,restauracja,restauracji,restauracji,restaurację,restauracją,restauracji,restauracjo
718,danie,danie,dania,daniu,danie,daniem,daniu,danie
723,kurs,kurs,kursu,kursowi,kurs,kursem,kursie,kursie
724,dokument,dokument,dokumentu,dokumentowi,dokument,dokumentem,dokumencie,dokumencie!
726,przeznaczenie,przeznaczenie,przeznaczenia,przeznaczeniu,przeznaczenie,przeznaczeniem,przeznaczeniu,przeznaczenie
728,dusza,dusza,duszy,duszy,duszę,duszą,duszy,duszo
729,samobójstwo,samobójstwo,samobójstwa,samobójstwu,samobójstwo,samobójstwem,samobójstwie,samobójstwo!
730,rzeka,rzeka,rzeki,rzece,rzekę,rzeką,rzece,rzeko
733,zwierzę,zwierzę,zwierzęcia,zwierzęciu,zwierzę,zwierzęciem,zwierzęciu,zwierzę!
735,gwiazda,gwiazda,gwiazdy,gwieździe,gwiazdę,gwiazdą,gwieździe,gwiazdo!
737,wino,wino,wina,winu,wino,winem,winie,wino
739,ryba,ryba,ryby,rybie,rybę,rybą,rybie,rybo
742,las,las,lasu,lasowi,las,lasem,lesie,lesie
743,połowa,połowa,połowy,połowie,połowę,połową,połowie,połowo
744,proces,proces,procesu,procesowi,proces,procesem,procesie,procesie
745,okoliczność,okoliczność,okoliczności,okoliczności,okoliczność,okolicznością,okoliczności,okoliczności
746,książę,książę,księcia,księciu,księcia,księciem,księciu,książę
747,bar,bar,baru,barowi,bar,barem,barze,barze
749,kościół,kościół,kościoła,kościołowi,kościół,kościołem,kościele,kościele
751,kwestia,kwestia,kwestii,kwestii,kwestię,kwestią,kwestii,kwestio
752,Anglia,Anglia,Anglii,Anglii,Anglię,Anglią,Anglii,Anglio
753,bohater,bohater,bohatera,bohaterowi,bohatera,bohaterem,bohaterze,bohaterze!
755,wątpliwość,wątpliwość,wątpliwości,wątpliwości,wątpliwość,wątpliwością,wątpliwości,wątpliwości
757,suma,suma,sumy,sumie,sumę,sumą,sumie,sumo
759,dach,dach,dachu,dachowi,dach,dachem,dachu,dach
762,zachód,zachód,zachodu,zachodowi,zachód,zachodem,zachodzie,zachodzie
763,Robert,Robert,Roberta,Robertowi,Roberta,Robertem,Robercie,Robercie
764,sztuka,sztuka,sztuki,sztuce,sztukę,sztuką,sztuce,sztuko
767,stół,stół,stołu,stołowi,stół,stołem,stole,stole
768,plaża,plaża,plaży,plązy,plażę,plażą,plaży,plażo!
769,park,park,parku,parkowi,park,parkiem,parku,parku!
776,obrona,obrona,obrony,obronie,obronę,obroną,obronie,obrono
777,pozwolenie,pozwolenie,pozwolenia,pozwoleniu,pozwolenie,pozwoleniem,pozwoleniu,pozwolenie
782,impreza,impreza,imprezy,imprezie,imprezę,imprezą,imprezie,imprezo
784,Jacek,Jacek,Jacka,Jackowi,Jacka,Jackiem,Jacku,Jacku
786,władza,władza,władzy,władzy,władzę,władzą,władzy,władzo
789,bilet,bilet,biletu,biletowi,bilet,biletem,bilecie,bilecie
790,Jezus,Jezus,Jezusa,Jezusowi,Jezusa,Jezusem,Jezusie,Jezusie
793,jednostka,jednostka,jednostki,jednostce,jednostkę,jednostką,jednostce,jednostko
794,dziadek,dziadek,dziadka,dziadkowi,dziadka,dziadkiem,dziadku,dziadku
799,projekt,projekt,projektu,projektowi,projekt,projektem,projekcie,projekcie
801,kamera,kamera,kamery,kamerze,kamerę,kamerą,kamerze,kamero
804,babcia,babcia,babci,babci,babcię,babcią,babci,babciu!
805,klub,klub,klubu,klubowi,klub,klubem,klubie,klubie
810,kolor,kolor,koloru,kolorowi,kolor,kolorem,kolorze,kolorze
812,drzewo,drzewo,drzewa,drzewu,drzewo,drzewem,drzewie,drzewo
813,wschód,wschód,wschodu,wschodowi,wschód,wschodem,wschodzie,wschodzie
814,klient,klient,klienta,klientowi,klienta,klientem,kliencie,kliencie!
816,uśmiech,uśmiech,uśmiechu,uśmiechowi,uśmiech,uśmiechem,uśmiechu,uśmiechu
817,pomyłka,pomyłka,pomyłki,pomyłce,pomyłkę,pomyłką,pomyłce,pomyłko!
818,wyjątek,wyjątek,wyjątku,wyjątkowi,wyjątek,wyjątkiem,wyjątku,wyjątku
821,kolano,kolano,kolana,kolanu,kolano,kolanem,kolanie,kolanie
822,przeżyć,przeżycie,przeżycia,przeżyciu,przeżycie,przeżyciem,przeżyciu,przeżycie
823,drużyna,drużyna,drużyny,drużynie,drużynę,drużyną,drużynie,drużyno
824,wsparcie,wsparcie,wsparcia,wsparciu,wsparcie,wsparciem,wsparciu,wsparcie
825,major,major,majora,majorowi,majora,majorem,majorze,majorze
829,zajęcia,zajęcie,zajęcia,zajęciu,zajęcie,zajęciem,zajęciu,zajęcie!
830,rak,rak,raka,rakowi,raka,rakiem,raku,raku
832,dar,dar,daru,darowi,dar,darem,darze,darze
835,luka,luka,luki,luce,lukę,luką,luce,luko!
838,próba,próba,próby,próbie,próbę,próbą,próbie,próbo
840,pierś,pierś,piersi,piersi,pierś,piersią,piersi,piersi!
846,wyspa,wyspa,wyspy,wyspie,wyspę,wyspą,wyspie,wyspo
851,szacunek,szacunek,szacunku,szacunkowi,szacunek,szacunkiem,szacunku,szacunku
856,poczucie,poczucie,poczucia,poczuciu,poczucie,poczuciem,poczuciu,poczucie
858,Francja,Francja,Francji,Francji,Francję,Francją,Francji,Francjo
860,bok,bok,boku,bokowi,bok,bokiem,boku,boku
861,działanie,działanie,działania,działaniu,działanie,działaniem,działaniu,działanie
862,ucho,ucho,ucha,uchu,ucho,uchem,uchu,ucho!
863,cud,cud,cudu,cudowi,cud,cudem,cudzie,cudzie
867,zachowanie,zachowanie,zachowania,zachowaniu,zachowanie,zachowaniem,zachowaniu,zachowanie
869,przyjaciółka,przyjaciółka,przyjaciółki,przyjaciółce,przyjaciółkę,przyjaciółką,przyjaciółce,przyjaciółko!
872,ciśnienie,ciśnienie,ciśnienia,ciśnieniu,ciśnienie,ciśnieniem,ciśnieniu,ciśnienie
875,kamień,kamień,kamienia,kamieniowi,kamień,kamieniem,kamieniu,kamieniu
876,autobus,autobus,autobusu,autobusowi,autobus,autobusem,autobusie,autobusie
878,rachunek,rachunek,rachunku,rachunkowi,rachunek,rachunkiem,rachunku,rachunku!
879,liceum,liceum,liceum,liceum,liceum,liceum,liceum,liceum
881,ściana,ściana,ściany,ścianie,ścianę,ścianą,ścianie,ściano
884,zrobienie,zrobienie,zrobienia,zrobieniu,zrobienie,zrobieniem,zrobieniu,zrobienie
888,dzielić,dzieło,dzieła,dziełu,dzieło,dziełem,dziełu,dzieło
890,scenariusz,scenariusz,scenariusza,scenariuszowi,scenariusz,scenariuszem,scenariuszu,scenariuszu
891,Helena,Helena,Heleny,Helenie,Helenę,Heleną,Helenie,Heleno
895,sąd,sąd,sądu,sądowi,sąd,sądem,sądzie,sądzie
896,chłop,chłop,chłopa,chłopu,chłopa,chłopem,chłopie,chłopie
897,ciemność,ciemność,ciemności,ciemności,ciemność,ciemnością,ciemności,ciemności
899,pozycja,pozycja,pozycji,pozycji,pozycję,pozycją,pozycji,pozycjo!
900,przedstawienie,przedstawienie,przedstawienia,przedstawieniu,przedstawienie,przedstawieniem,przedstawieniu,przedstawienie
906,palec,palec,palca,palcowi,palec,palcem,palcu,palcu!
907,idiota,idiota,idioty,idiocie,idiotę,idiotą,idiocie,idioto
913,prysznic,prysznic,prysznica,prysznicowi,prysznic,prysznicem,prysznicu,prysznicu
914,ramię,ramię,ramienia,ramieniu,ramię,ramieniem,ramieniu,ramię!
915,mamusia,mamusia,mamusi,mamusi,mamusię,mamusią,mamusi,mamusiu
917,piwnica,piwnica,piwnicy,piwnicy,piwnicę,piwnicą,piwnicy,piwnico!
918,zegarek,zegarek,zegarka,zegarkowi,zegarek,zegarkiem,zegarku,zegarku
919,stopień,stopień,stopnia,stopniowi,stopień,stopniem,stopniu,stopniu!
921,połączenie,połączenie,połączenia,połączeniu,połączenie,połączeniem,połączeniu,połączenie
922,plus,plus,plusa,plusowi,plus,plusem,plusie,plusie!
923,przerwa,przerwa,przerwy,przerwie,przerwę,przerwą,przerwie,przerwo
926,urządzenie,urządzenie,urządzenia,urządzeniu,urządzenie,urządzeniem,urządzeniu,urządzenie!
928,lotnisko,lotnisko,lotniska,lotnisku,lotnisko,lotniskiem,lotnisku,lotnisko!
932,poniedziałek,poniedziałek,poniedziałku,poniedziałkowi,poniedziałek,poniedziałkiem,poniedziałku,poniedziałku
935,Adam,Adam,Adama,Adamowi,Adama,Adamem,Adamie,Adamie
936,tajemnica,tajemnica,tajemnicy,tajemnicy,tajemnicę,tajemnicą,tajemnicy,tajemnico
938,odpowiedzieć,odpowiedź,odpowiedzi,odpowiedzi,odpowiedź,odpowiedzią,odpowiedzi,odpowiedzi
941,trakt,trakt,traktu,traktowi,trakt,traktem,trakcie,trakcie
942,gazeta,gazeta,gazety,gazecie,gazetę,gazetą,gazecie,gazeto
943,okres,okres,okresu,okresowi,okres,okresem,okresie,okresie!
946,rzeczywistość,rzeczywistość,rzeczywistości,rzeczywistości,rzeczywistość,rzeczywistością,rzeczywistości,rzeczywistości
953,komórka,komórka,komórki,komórce,komórkę,komórką,komórce,komórko
955,piosenka,piosenka,piosenki,piosence,piosenkę,piosenką,piosence,piosenko!
958,królowa,królowa,królowej,królowej,królową,królową,królowej,królowo
960,łazienka,łazienka,łazienki,łazience,łazienkę,łazienką,łazience,łazienko
961,taniec,taniec,tańca,tańcowi,taniec,tańcem,tańcu,tańcu
964,herbata,herbata,herbaty,harbacie,herbatę,herbatą,herbacie,herbato
965,dźwięk,dźwięk,dźwięku,dźwiękowi,dźwięk,dźwiękiem,dźwięku,dźwięku
966,wspomnienie,wspomnienie,wspomnienia,wspomnieniu,wspomnienie,wspomnieniem,wspomnieniu,wspomnienie
967,kłamstwo,kłamstwo,kłamstwa,kłamstwu,kłamstwo,kłamstwem,kłamstwie,kłamstwo
968,lek,lek,leku,lekowi,lek,lekiem,leku,leku
969,nagroda,nagroda,nagrody,nagrodzie,nagrodę,nagrodą,nagrodzie,nagrodo!
973,wywiad,wywiad,wywiadu,wywiadowi,wywiad,wywiadem,wywiadzie,wywiadzie
974,wstyd,wstyd,wstydu,wstydowi,wstyd,wstydem,wstydzie,wstydzie!
977,muzeum,muzeum,muzeum,muzeum,muzeum,muzeum,muzeum,muzeum
979,rząd,rząd,rządu,rządowi,rząd,rządem,rządzie,rządzie
980,Julia,Julia,Julii,Julii,Julię,Julią,Julii,Julio
981,Marta,Marta,Marty,Marcie,Martę,Martą,Marcie,Marto
985,talent,talent,talentu,talentowi,talent,talentem,talencie,talencie
991,ksiądz,ksiądz,księdza,księdzu,księdza,księdzem,księdzu,księże
995,wymiar,wymiar,wymiaru,wymiarowi,wymiar,wymiarem,wymiarze,wymiarze
997,zwycięstwo,zwycięstwo,zwycięstwa,zwycięstwu,zwycięstwo,zwycięstwem,zwycięstwie,zwycięstwo
998,rozwiązanie,rozwiązanie,rozwiązania,rozwiązaniu,rozwiązanie,rozwiązaniem,rozwiązaniu,rozwiązanie!
1002,wydział,wydział,wydziału,wydziałowi,wydział,wydziałem,wydziale,wydziale!
1003,materiał,materiał,materiału,materiałowi,materiał,materiałem,materiale,materiale!
1006,walc,walc,walca,walcowi,walc,walcem,walcu,walcu
1007,oficer,oficer,oficera,oficerowi,oficera,oficerem,oficerze,oficerze
1012,sypialnia,sypialnia,sypialni,sypialni,sypialnię,sypialnią,sypialni,sypialnio
1013,szczegół,szczegół,szczegółu,szczegółowi,szczegół,szczegółem,szczególe,szczególe!
1014,Paryż,Paryż,Paryża,Paryżowi,Paryż,Paryżem,Paryżu,Paryżu
1015,Londyn,Londyn,Londynu,Londynowi,Londyn,Londynem,Londynie,Londynie
1020,poprawka,poprawka,poprawki,poprawce,poprawkę,poprawką,poprawce,poprawko
1022,nakaz,nakaz,nakazu,nakazowi,nakaz,nakazem,nakazie,nakazie
1023,deszcz,deszcz,deszczu,deszczowi,deszcz,deszcze,deszczu,deszczu
1025,koszmar,koszmar,koszmaru,koszmarowi,koszmar,koszmarem,koszmarze,koszmarze
1027,spod,spód,spodu,spodowi,spód,spodem,spodzie,spodzie
1030,rola,rola,roli,roli,rolę,rolą,roli,rolo
1032,włos,włos,włosa,włosowi,włos,włosem,włosie,włosie!
1035,pogrzeb,pogrzeb,pogrzebu,pogrzebowi,pogrzeb,pogrzebem,pogrzebie,pogrzebie
1036,sieć,sieć,sieci,sieci,sieć,siecią,sieci,sieci
1038,podstawa,podstawa,podstawy,podstawie,podstawę,podstawą,podstawie,podstawo!
1039,odrobina,odrobina,odrobiny,odrobinie,odrobinę,odrobiną,odrobinie,odrobino
1040,zejść,zejście,zejścia,zejściu,zejście,zejściem,zejściu,zejście
1041,Maria,Maria,Marii,Marii,Marię,Marią,Marii,Mario
1046,róg,róg,rogu,rogowi,róg,rogiem,rogu,rogu!
1049,cola,cola,coli,coli,colę,colą,coli,colo
1050,piętro,piętro,piętra,piętru,piętro,piętrem,piętrze,piętro!
1052,strata,strata,straty,stracie,stratę,stratą,stracie,strato
1056,artykuł,artykuł,artykułu,artykułowi,artykuł,artykułem,artykule,artykule
1057,spacer,spacer,spaceru,spacerowi,spacer,spacerem,spacerze,spacerze
1058,but,but,buta,butowi,but,butem,bucie,bucie
1059,kula,kula,kuli,kuli,kulę,kulą,kuli,kulo
1060,typ,typ,typu,typowi,typ,typem,typie,typie!
1061,kilometr,kilometr,kilometra,kilometrowi,kilometr,kilometrem,kilometrze,kilometrze
1065,przejście,przejście,przejścia,przejściu,przejście,przejściem,przejściu,przejście
1068,księżyc,księżyc,księżyca,księżycowi,księżyc,księżycem,księżycu,księżycu
1072,widz,widz,widza,widzowi,widza,widzem,widzu,widzu
1073,zamek,zamek,zamku,zamkowi,zamek,zamkiem,zamku,zamku
1076,Amerykanin,Amerykanin,Amerykanina,Amerykaninowi,Ameryknina,Amerykaninem,Amerykanie,Amerykanie
1080,warunek,warunek,warunku,warunkowi,warunek,warunkiem,warunku,warunku!
1081,łapa,łapa,łapy,łapie,łapę,łapą,łapie,łapo
1086,kot,kot,kota,kotu,kota,kotem,kocie,kocie
1087,rock,rock,rocka,rockowi,rocka,rockiem,rocku,rocku
1088,gaz,gaz,gazu,gazowi,gaz,gazem,gazie,gazie
1089,czwartek,czwartek,czwartku,czwartkowi,czwartek,czwartkiem,czwartku,czwartek
1091,granica,granica,granicy,granicy,granicę,granicą,granicy,granico!
1092,pacjent,pacjent,pacjenta,pacjentowi,pacjenta,pacjentem,pacjencie,pacjencie
1094,tytuł,tytuł,tytułu,tytułowi,tytuł,tytułem,tytule,tytule!
1097,źródło,źródło,źródła,źródłu,źródło,źródłem,źródle,źródło
1099,obecność,obecność,obecności,obecności,obecność,obecnością,obecności,obecności
1100,wojsko,wojsko,wojska,wojsku,wojsko,wojskiem,wojsku,wojsko
1101,ilość,ilość,ilości,ilości,ilość,ilością,ilości,ilości
1102,sędzia,sędzia,sędziego/sędzi,sędziemu/sędzi,sędziego/sędzię,sędzią,sędzim/sędzi,sędzi
1103,towarzystwo,towarzystwo,towarzystwa,towarzystwu,towarzystwo,towarzystwem,towarzystwie,towarzystwo
1106,ranek,ranek,ranka,rankowi,ranek,rankiem,ranku,ranku
1107,marzenie,marzenie,marzenia,marzeniu,marzenie,marzeniem,marzeniu,marzenie
1108,sukces,sukces,sukcesu,sukcesowi,sukces,sukcesem,sukcesie,sukcesie!
1109,procent,procent,procenta,procentowi,procent,procentem,procencie,procencie
1110,doświadczenie,doświadczenie,doświadczenia,doświadczeniu,doświadczenie,doświadczeniem,doświadczeniu,doświadczenie!
1112,obóz,obóz,obozu,obozowi,obóz,obozem,obozie,obozie
1114,nagranie,nagranie,nagrania,nagraniu,nagranie,nagraniem,nagraniu,nagranie!
1117,picie,picie,picia,piciu,picie,piciem,piciu,picie
1118,bałagan,bałagan,bałaganu,bałaganowi,bałagan,bałaganem,bałaganie,bałaganie!
1119,biznes,biznes,biznesu,biznesowi,biznes,biznesem,biznesie,biznesie
1121,czek,czek,czeku,czekowi,czek,czekiem,czeku,czeku
1122,pas,pas,pasa,pasowi,pas,pasem,pasie,pasie
1123,sobota,sobota,soboty,sobocie,sobotę,sobotą,sobocie,soboto
1125,nauka,nauka,nauki,nauce,naukę,nauką,nauce,nauko!
1127,stanowisko,stanowisko,stanowiska,stanowisku,stanowisko,stanowiskiem,stanowisku,stanowisko!
1130,butelka,butelka,butelki,butelce,butelkę,butelką,butelce,butelko
1138,dyrektor,dyrektor,dyrektora,dyrektorowi,dyrektora,dyrektorem,dyrektorze,dyrektorze!
1139,torba,torba,torby,torbie,torbę,torbą,torbie,torbo
1140,kupa,kupa,kupy,kupie,kupę,kupą,kupie,kupo
1141,papier,papier,papieru,papierowi,papier,papierem,papierze,papierze
1142,lasek,lasek,lasku,laskowi,lasek,laskiem,lasku,lasku
1143,zaproszenie,zaproszenie,zaproszenia,zaproszeniu,zaproszenie,zaproszeniem,zaproszeniu,zaproszenie!
1145,mięso,mięso,mięsa,mięsu,mięso,mięsem,mięsie,mięso
1146,kontrakt,kontrakt,kontraktu,kontraktowi,kontrakt,kontraktem,kontrakcie,kontrakcie!
1149,podłoga,podłoga,podłogi,podłodze,podłogę,podłogą,podłodze,podłogo!
1150,morze,morze,morza,morzu,morze,morzem,morzu,morzu
1151,jajko,jajko,jajka,jajku,jajko,jajkiem,jajku,jajko
1155,zasięg,zasięg,zasięgu,zasięgowi,zasięg,zasięgiem,zasięgu,zasięgu!
1159,dojść,dojście,dojścia,dojściu,dojście,dojściem,dojściu,dojście
1160,prawo,prawo,prawa,prawu,prawo,prawem,prawie,prawo
1165,pustynia,pustynia,pustyni,pustyni,pustynię,pustynią,pustyni,pustynio
1169,choroba,choroba,choroby,chorobie,chorobę,chorobą,chorobie,chorobo!
1170,odpowiedzialność,odpowiedzialność,odpowiedzialności,odpowiedzialności,odpowiedzialność,odpowiedzialnością,odpowiedzialności,odpowiedzialności
1172,umiejętność,umiejętność,umiejętności,umiejętności,umiejętność,umiejętnością,umiejętności,umiejętność!
1174,romans,romans,romansu,romansowi,romans,romansem,romansie,romansie
1175,kilo,kilo,-,-,-,-,-,-
1176,gardło,gardło,gardła,gardłu,gardło,gardłem,gardle,gardło
1178,dłoń,dłoń,dłoni,dłoni,dłoń,dłonią,dłoni,dłoni
1181,lekarstwo,lekarstwo,lekarstwa,lekarstwu,lekarstwo,lekarstwem,lekarstwie,lekarstwo
1186,partner,partner,partnera,partnerowi,partnera,partnerem,partnerze,partnerze
1189,kapelusz,kapelusz,kapelusza,kapeluszowi,kapelusz,kapeluszem,kapeluszu,kapeluszu!
1190,zagrożenie,zagrożenie,zagrożenia,zagrożeniu,zagrożenie,zagrożeniem,zagrożeniu,zagrożenie
1194,ląd,ląd,lądu,lądowi,ląd,lądem,lądzie,lądzie
1196,natura,natura,natury,naturze,naturę,naturą,naturze,naturo!
1199,most,most,mostu,mostowi,most,mostem,moście,moście
1200,wpływ,wpływ,wpływu,wpływowi,wpływ,wpływem,wpływie,wpływie
1203,liczba,liczba,liczby,liczbie,liczbę,liczbą,liczbie,liczbo
1209,mleko,mleko,mleka,mleku,mleko,mlekiem,mleku,mleko
1211,wtorek,wtorek,wtorku,wtorkowi,wtorek,wtorkiem,wtorku,wtorku
1213,głód,głód,głodu,głodowi,głód,głodem,głodzie,głodzie
1214,lina,lina,liny,linie,linę,liną,linie,lino
1215,opowieść,opowieść,opowieści,opowieści,opowieść,opowieścią,opowieści,opowieści
1216,konto,konto,konta,kontu,konto,kontem,koncie,konto
1217,obiekt,obiekt,obiektu,obiektowi,obiekt,obiektem,obiekcie,obiekcie!
1223,płaszcz,płaszcz,płaszcza,płaszczowi,płaszcz,płaszczem,płaszczu,płaszczu!
1225,bal,bal,balu,balowi,bal,balem,balu,balu!
1237,szampan,szampan,szampana,szampanowi,szampana,szampanem,szampanie,szampanie
1238,adwokat,adwokat,adwokata,adwokatowi,adwokata,adwokatem,adwokacie,adwokacie
1243,żal,żal,żalu,żalowi,żal,żalem,żalu,żalu
1245,obowiązek,obowiązek,obowiązku,obowiązkowi,obowiązek,obowiązkiem,obowiązku,obowiązku!
1248,garnitur,garnitur,garnituru,garniturowi,garnitur,garniturem,garniturze,garniturze
1250,sprzedaż,sprzedaż,sprzedaży,sprzedaży,sprzedaż,sprzedażą,sprzedaży,sprzedaży
1257,toaleta,toaleta,toalety,toalecie,toaletę,toaletą,toalecie,toaleto
1259,tekst,tekst,tekstu,teksowi,tekst,tekstem,tekście,tekście
1261,pracownik,pracownik,pracownika,pracownikowi,pracownika,pracownikiem,pracowniku,pracowniku!
1263,taksówka,taksówka,taksówki,taksówce,taksówkę,taksówką,taksówce,taksówko
1264,baba,baba,baby,babie,babę,babą,babie,babo
1272,pożar,pożar,pożaru,pożarowi,pożar,pożarem,pożarze,pożarze
1276,scena,scena,sceny,scenie,scenę,sceną,scenie,sceno!
1277,zdolność,zdolność,zdolności,zdolności,zdolność,zdolnością,zdolności,zdolności
1279,Anioł,anioł,anioła,aniołowi,anioła,aniołem,aniele,aniele
1281,dziura,dziura,dziury,dziurze,dziurę,dziurą,dziurze,dziuro
1284,portfel,portfel,portfela / portfelu,portfelowi,portfel,portfelem,portfelu,portfelu!
1285,życzenie,życzenie,życzenia,życzeniu,życzenie,życzeniem,życzeniu,życzenie!
1286,zaufanie,zaufanie,zaufania,zaufaniu,zaufanie,zaufaniem,zaufaniu,zaufanie
1287,spóźnienie,spóźnienie,spóźnienia,spóźnieniu,spóźnienie,spóźnieniem,spóźnieniu,spóźnienie
1289,bieg,bieg,biegu,biegowi,bieg,biegiem,biegu,biegu
1290,lekcja,lekcja,lekcji,lekcji,lekcję,lekcją,lekcji,lekcjo
1291,policjant,policjant,policjanta,policjantowi,policjanta,policjantem,policjancie,policjancie
1292,kółko,kółko,kółka,kółku,kółko,kółkiem,kółku,kółko
1293,kariera,kariera,kariery,karierze,karierę,karierą,karierze,kariero
1294,kurczak,kurczak,kurczaka,kurczkowi,kurczaka,kurczakiem,kurczaku,kurczaku
1297,telewizor,telewizor,telewizora,telewizorowi,telewizor,telewizorem,telewizorze,telewizorze!
1298,prawnik,prawnik,prawnika,prawnikowi,prawnika,prawnikiem,prawniku,prawniku
1302,wartość,wartość,wartości,wartości,wartość,wartością,wartości,wartości
1303,forum,forum,forum,forum,forum,forum,forum,forum
1305,data,data,daty,dacie,datę,datą,dacie,dato
1311,start,start,startu,startowi,start,startem,starcie,starcie
1314,burza,burza,burzy,burzy,burzę,burzą,burzy,burzo
1317,ciasto,ciasto,ciasta,ciastu,ciasto,ciastem,cieście,ciasto!
1319,tłum,tłum,tłumu,tłumowi,tłum,tłumem,tłumie,tłumie
1321,kradzież,kradzież,kradzieży,kradzieży,kradzież,kradzieżą,kradzieży,kradzież
1327,niedziela,niedziela,niedzieli,niedzieli,niedzielę,niedzielą,niedzieli,niedzielo
1330,nastrój,nastrój,nastroju,nastrojowi,nastrój,nastrojem,nastroju,nastroju
1334,zasilanie,zasilanie,zasilania,zasilaniu,zasilanie,zasilaniem,zasilaniu,zasilanie
1341,prawić,prawo,prawa,prawu,prawo,prawem,prawie,prawo
1343,spojrzenie,spojrzenie,spojrzenia,spojrzeniu,spojrzenie,spojrzeniem,spojrzeniu,spojrzenie
1344,przemoc,przemoc,przemocy,przemocy,przemoc,przemocą,przemocy,przemocy
1345,przestrzeń,przestrzeń,przestrzeni,przestrzeni,przestrzeń,przestrzenią,przestrzeni,przestrzeni!
1347,kuzyn,kuzyn,kuzyna,kuzynowi,kuzyna,kuzynem,kuzynie,kuzynie!
1348,kanał,kanał,kanału,kanałowi,kanał,kanałem,kanale,kanale
1354,kino,kino,kina,kinu,kino,kinem,kinie,kino
1357,plac,plac,placu,placowi,plac,placem,placu,placu
1361,ciuch,ciuch,ciucha,ciuchowi,ciuch,ciuchem,ciuchu,ciuchu
1365,papieros,papieros,papierosa,papierosowi,papierosa,papierosem,papierosie,papierosie
1377,plotka,plotka,plotki,plotce,plotkę,plotką,plotce,plotko!
1381,szyja,szyja,szyi,szyi,szyję,szyją,szyi,szyjo!
1383,magia,magia,magii,magii,magię,magią,magii,magio
1386,powierzchnia,powierzchnia,powierzchni,powierzchni,powierzchnię,powierzchnią,powierzchni,powierzchnio
1388,prędkość,prędkość,prędkości,prędkości,prędkość,prędkością,prędkości,prędkości
1389,pierścionek,pierścionek,pierścionka,pierścionkowi,pierścionek,pierścionkiem,pierścionku,pierścionku
1391,pilot,pilot,pilota,pilotowi,pilota,pilotem,pilocie,pilocie!
1396,agencja,agencja,agencji,agencji,agencję,agencją,agencji,agencjo!
1398,helikopter,helikopter,helikoptera,helikopterowi,helikopter,helikopterem,helikopterze,helikopterze
1399,pudełko,pudełko,pudełka,pudełku,pudełko,pudełkiem,pudełku,pudełko
1400,humor,humor,humoru,humorowi,humor,humorem,humorze,humor
1401,lód,lód,lodu,lodowi,lód,lodem,lodzie,lodzie
1402,tunel,tunel,tunelu,tunelowi,tunel,tunelem,tunelu,tunelu
1405,garaż,garaż,garażu,garażowi,garaż,garażem,garażu,garażu
1407,ptak,ptak,ptaka,ptaku,ptaka,ptakiem,ptaku,ptaku!
1408,inspektor,inspektor,inspektora,inspektorowi,inspektora,inspektorem,inspektorze,inspektorze
1411,pułapka,pułapka,pułapki,pułapce,pułapkę,pułapką,pułapce,pułapko
1412,ostrzeżenie,ostrzeżenie,ostrzeżenia,ostrzeżeniu,ostrzeżenie,ostrzeżeniem,ostrzeżeniu,ostrzeżenie
